,wavenumber,absorbance
758,2534.3429,0.01577
759,2532.41417,0.01548
760,2530.48545,0.01522
761,2528.55673,0.01506
762,2526.628,0.01493
763,2524.69928,0.01474
764,2522.77055,0.01455
765,2520.84183,0.01434
766,2518.91311,0.01417
767,2516.98438,0.01409
768,2515.05566,0.01401
769,2513.12694,0.01382
770,2511.19821,0.01356
771,2509.26949,0.01334
772,2507.34076,0.01315
773,2505.41204,0.01297
774,2503.48332,0.01275
775,2501.55459,0.01249
776,2499.62587,0.01221
777,2497.69715,0.01197
778,2495.76842,0.01181
779,2493.8397,0.01169
780,2491.91098,0.01152
781,2489.98225,0.01133
782,2488.05353,0.01114
783,2486.1248,0.01091
784,2484.19608,0.0107
785,2482.26736,0.01058
786,2480.33863,0.01051
787,2478.40991,0.01038
788,2476.48119,0.01017
789,2474.55246,0.00996
790,2472.62374,0.00979
791,2470.69502,0.0097
792,2468.76629,0.00958
793,2466.83757,0.00935
794,2464.90884,0.00909
795,2462.98012,0.00892
796,2461.0514,0.00881
797,2459.12267,0.00867
798,2457.19395,0.00846
799,2455.26523,0.0082
800,2453.3365,0.00799
801,2451.40778,0.00784
802,2449.47905,0.00769
803,2447.55033,0.00752
804,2445.62161,0.00738
805,2443.69288,0.0073
806,2441.76416,0.00719
807,2439.83544,0.00703
808,2437.90671,0.00683
809,2435.97799,0.00663
810,2434.04927,0.00648
811,2432.12054,0.00633
812,2430.19182,0.00622
813,2428.26309,0.00616
814,2426.33437,0.00607
815,2424.40565,0.00591
816,2422.47692,0.00575
817,2420.5482,0.0056
818,2418.61948,0.00545
819,2416.69075,0.00526
820,2414.76203,0.00513
821,2412.83331,0.00503
822,2410.90458,0.00486
823,2408.97586,0.00465
824,2407.04713,0.00456
825,2405.11841,0.00453
826,2403.18969,0.00443
827,2401.26096,0.00425
828,2399.33224,0.00408
829,2397.40352,0.00397
830,2395.47479,0.00388
831,2393.54607,0.00377
832,2391.61734,0.00366
833,2389.68862,0.00356
834,2387.7599,0.00347
835,2385.83117,0.00341
836,2383.90245,0.0034
837,2381.97373,0.00341
838,2380.045,0.0034
839,2378.11628,0.00341
840,2376.18756,0.00342
841,2374.25883,0.00338
842,2372.33011,0.00334
843,2370.40138,0.00339
844,2368.47266,0.00346
845,2366.54394,0.00347
846,2364.61521,0.0034
847,2362.68649,0.00332
848,2360.75777,0.00323
849,2358.82904,0.00312
850,2356.90032,0.00299
851,2354.9716,0.00281
852,2353.04287,0.00261
853,2351.11415,0.00248
854,2349.18542,0.00249
855,2347.2567,0.00254
856,2345.32798,0.00255
857,2343.39925,0.00254
858,2341.47053,0.00256
859,2339.54181,0.00251
860,2337.61308,0.00241
861,2335.68436,0.00233
862,2333.75563,0.00224
863,2331.82691,0.00212
864,2329.89819,0.00197
865,2327.96946,0.00182
866,2326.04074,0.00168
867,2324.11202,0.00153
868,2322.18329,0.00142
869,2320.25457,0.00144
870,2318.32585,0.00152
871,2316.39712,0.00151
872,2314.4684,0.00138
873,2312.53967,0.00124
874,2310.61095,0.00113
875,2308.68223,0.00102
876,2306.7535,0.0009
877,2304.82478,0.00081
878,2302.89606,0.00077
879,2300.96733,0.00076
880,2299.03861,0.00076
881,2297.10989,0.00074
882,2295.18116,0.00071
883,2293.25244,0.0007
884,2291.32371,0.00067
885,2289.39499,0.0006
886,2287.46627,0.00053
887,2285.53754,0.00048
888,2283.60882,0.00044
889,2281.6801,0.00043
890,2279.75137,0.00045
891,2277.82265,0.00049
892,2275.89392,0.00053
893,2273.9652,0.00054
894,2272.03648,0.00047
895,2270.10775,0.00039
896,2268.17903,0.00034
897,2266.25031,0.00029
898,2264.32158,0.00022
899,2262.39286,0.00017
900,2260.46414,0.00015
901,2258.53541,0.00014
902,2256.60669,0.00012
903,2254.67796,6e-05
904,2252.74924,0.0
905,2250.82052,1e-05
906,2248.89179,7e-05
907,2246.96307,0.0001
908,2245.03435,8e-05
909,2243.10562,0.0001
910,2241.1769,0.00015
911,2239.24818,0.00016
912,2237.31945,0.00012
913,2235.39073,3e-05
914,2233.462,-5e-05
915,2231.53328,-8e-05
916,2229.60456,-9e-05
917,2227.67583,-9e-05
918,2225.74711,-5e-05
919,2223.81839,1e-05
920,2221.88966,2e-05
921,2219.96094,-4e-05
922,2218.03221,-0.0001
923,2216.10349,-0.00011
924,2214.17477,-0.0001
925,2212.24604,-5e-05
926,2210.31732,2e-05
927,2208.3886,6e-05
928,2206.45987,4e-05
929,2204.53115,0.0
930,2202.60243,-6e-05
931,2200.6737,-8e-05
932,2198.74498,-8e-05
933,2196.81625,-0.00011
934,2194.88753,-0.00014
935,2192.95881,-0.00013
936,2191.03008,-8e-05
937,2189.10136,-6e-05
938,2187.17264,-0.00014
939,2185.24391,-0.00016
940,2183.31519,-0.00011
941,2181.38647,-0.0001
942,2179.45774,-0.00015
943,2177.52902,-0.00018
944,2175.60029,-0.00015
945,2173.67157,-0.0001
946,2171.74285,-9e-05
947,2169.81412,-0.0001
948,2167.8854,-8e-05
949,2165.95668,-5e-05
950,2164.02795,1e-05
951,2162.09923,5e-05
952,2160.1705,7e-05
953,2158.24178,0.00013
954,2156.31306,0.00021
955,2154.38433,0.00017
956,2152.45561,9e-05
957,2150.52689,8e-05
958,2148.59816,0.00015
959,2146.66944,0.00018
960,2144.74072,0.00016
961,2142.81199,0.00017
962,2140.88327,0.00023
963,2138.95454,0.00025
964,2137.02582,0.00023
965,2135.0971,0.0002
966,2133.16837,0.00016
967,2131.23965,9e-05
968,2129.31093,4e-05
969,2127.3822,-0.0
970,2125.45348,-6e-05
971,2123.52476,-9e-05
972,2121.59603,-4e-05
973,2119.66731,2e-05
974,2117.73858,0.0
975,2115.80986,-6e-05
976,2113.88114,-8e-05
977,2111.95241,-6e-05
978,2110.02369,-5e-05
979,2108.09497,-6e-05
980,2106.16624,-0.00011
981,2104.23752,-0.00016
982,2102.3088,-0.00019
983,2100.38007,-0.00016
984,2098.45135,-0.0001
985,2096.52262,-5e-05
986,2094.5939,0.0
987,2092.66518,-3e-05
988,2090.73645,-0.00011
989,2088.80773,-0.00022
990,2086.87901,-0.00031
991,2084.95028,-0.00039
992,2083.02156,-0.00046
993,2081.09283,-0.00053
994,2079.16411,-0.00056
995,2077.23539,-0.00058
996,2075.30666,-0.00059
997,2073.37794,-0.00058
998,2071.44922,-0.00054
999,2069.52049,-0.00047
1000,2067.59177,-0.00044
1001,2065.66305,-0.0004
1002,2063.73432,-0.00036
1003,2061.8056,-0.00031
1004,2059.87687,-0.00027
1005,2057.94815,-0.00023
1006,2056.01943,-0.00017
1007,2054.0907,-6e-05
1008,2052.16198,9e-05
1009,2050.23326,0.00024
1010,2048.30453,0.00037
1011,2046.37581,0.00052
1012,2044.44709,0.00066
1013,2042.51836,0.00077
1014,2040.58964,0.00086
1015,2038.66091,0.00097
1016,2036.73219,0.00112
1017,2034.80347,0.00128
1018,2032.87474,0.00148
1019,2030.94602,0.00172
1020,2029.0173,0.002
1021,2027.08857,0.00225
1022,2025.15985,0.00246
1023,2023.23112,0.00266
1024,2021.3024,0.00284
1025,2019.37368,0.00297
1026,2017.44495,0.0031
1027,2015.51623,0.00323
1028,2013.58751,0.00335
1029,2011.65878,0.00349
1030,2009.73006,0.00363
1031,2007.80134,0.00369
1032,2005.87261,0.00372
1033,2003.94389,0.0038
1034,2002.01516,0.00385
1035,2000.08644,0.00381
1036,1998.15772,0.00377
1037,1996.22899,0.00379
1038,1994.30027,0.00381
1039,1992.37155,0.00377
1040,1990.44282,0.00372
1041,1988.5141,0.00367
1042,1986.58538,0.00359
1043,1984.65665,0.00354
1044,1982.72793,0.00353
1045,1980.7992,0.00347
1046,1978.87048,0.00338
1047,1976.94176,0.00327
1048,1975.01303,0.00314
1049,1973.08431,0.003
1050,1971.15559,0.00285
1051,1969.22686,0.00268
1052,1967.29814,0.00255
